status_id,created_at,screen_name,text,source,is_quote,is_retweet,favorite_count,retweet_count
1439818767937142784,2021-09-20T05:08:39Z,SunDevilSpark,"There are only 15 teams* that have ever lost more than 20 games in a row…I’ll be rooting for my hometown team to be number 16 on the list and make history again. #UArizona 

*Duke has actually been on the 20+ game losing streak list twice. 😬 #CollegeFootball https://t.co/gvJT4jf4zr",Twitter for iPhone,FALSE,FALSE,3,0
1439784637987909632,2021-09-20T02:53:02Z,SunDevilSpark,"It may be another 363 days until #UArizona wins another football game. North Dakota State is scheduled for September 17, 2022. #JustSayin #NoPityForTheKitty #BearDone",Twitter for iPhone,FALSE,FALSE,1,0
1439786843994824704,2021-09-20T03:01:48Z,budhoog9,ROZY and Kramer have to have a little smile on their face when 6 of the 11 guys on defense at NW are from the Wildcats family. Jaden Noah Korbin TO Jalyn and Gavin. Sorry I think I cut off Gavin on the pic. #WildcatPride https://t.co/i0jiwUcLaq,Twitter for iPhone,FALSE,FALSE,46,1
1439778839358541824,2021-09-20T02:29:59Z,GarageHoogies,ROZY and Kramer have to have a little smile on their face when 6 of the 11 guys on defense at NW are from the Wildcats family. Jaden Noah Korbin TO Jalyn and Gavin. Sorry I think I cut off Gavin on the pic. #WildcatPride https://t.co/3qrqV9qtFX,Twitter for iPhone,FALSE,FALSE,1,0
1438366816619974656,2021-09-16T04:59:07Z,Bostongoodthing,"@JeddFischEyes @SportsPac12 @USATODAY #707LOL but hey, #UofA is setting records! Have as many TURNOVERS as points, longest current losing streak in all of college football. If #UArizona can't beat NAU...😱🤷🤡😿☠️ @JeddFischEyes score prediction please!🙏 https://t.co/AyWwDZfG53",Twitter Web App,FALSE,FALSE,1,0
1439012492894670848,2021-09-17T23:44:48Z,Bostongoodthing,@ArizonaStClock #707LOL forever if #UArizona @ArizonaFBall https://t.co/Ad56l3kwLF,Twitter Web App,FALSE,FALSE,0,0
1439776580042207232,2021-09-20T02:21:01Z,Bostongoodthing,@PacFight @oregonfootball @StanfordFball @USC_FB @UCLAFootball @ASUFootball @BeaverFootball @Utah_Football @CalFootball @UW_Football @CUBuffsFootball @WSUCougarFB @ArizonaFBall If you haven't won a game since 2019💩have the longest losing streak in the nation🤮just went 0-3 against out of conference teams📉 lost to #NAU first time since 1932😿🪓lost your last #Pac12 game 70-7🔥😈and start pac12 play week against Oregon🙀 #UArizona #U4 ☠️🔚 https://t.co/Jy8KNK8l5y,Twitter Web App,FALSE,FALSE,2,0
1439761714216509440,2021-09-20T01:21:56Z,2sawnMama,We are fans no matter what! #arizonawildcats #beardown @AZATHLETICS https://t.co/o54wcwfsXp,Twitter for iPhone,FALSE,FALSE,0,0
1439664371597205504,2021-09-19T18:55:08Z,WilkersonTElem,We love to see our Wildcats reminding everyone how to wash their hands! 😍 #WilkersonStrong #WildcatPride https://t.co/t7PlfJdYfW,Twitter for iPhone,TRUE,FALSE,1,0
1439630042397483008,2021-09-19T16:38:43Z,TalanaJordan,game day!! #Wildcats #BearDown #zona #universityofarizona https://t.co/8xeeDjD6Qe,Twitter for Android,FALSE,FALSE,4,0
1439626858056716288,2021-09-19T16:26:04Z,Moose_UT,@BYUfootball treating the @pac12 like it's Order 66. @Utah_Football @ArizonaFBall @ArizonaState #UtahFootball #ArizonaWildcats #SunDevils #BYUFootball #Pac12 https://t.co/jtpE0tkslV,Twitter for Android,FALSE,FALSE,0,0
1439618639406120960,2021-09-19T15:53:25Z,Midnight_7575,"Arizona loses to NAU! Rock bottom!
#ArizonaWildcats #universityofarizona",Twitter for iPhone,FALSE,FALSE,0,0
1437955035338510336,2021-09-15T01:42:50Z,AW_WildcatsSB,Such a fun WIN against Ralston Valley! Cats came out swinging and secured the 13-5 victory! 💜🥎 So proud of this team! #WildcatPride #FightAllTheWay https://t.co/63mfHlQsuQ,Twitter for iPhone,FALSE,FALSE,16,1
1439617727711178752,2021-09-19T15:49:47Z,AW_WildcatsSB,"Another busy week for AWest Softball. Varsity continues our weather halted, non-conference game vs Pomona tomorrow- 4:30pm @ AWest. On Wednesday, we host Dakota Ridge- Varsity @ 3:30pm, JV right after. This weekend we host our JV Tournament at Youth Memorial! #WildcatPride 🥎💜 https://t.co/ErJxqgqex2",Twitter for iPhone,FALSE,FALSE,5,1
1439258904240680960,2021-09-18T16:03:57Z,AW_WildcatsSB,Beautiful Saturday morning to play ball! Our JV Wildcats are taking on Ralston Valley at AWest! Let’s do this! 💜🥎 #WildcatPride https://t.co/IKHlyvKHBR,Twitter for iPhone,FALSE,FALSE,7,0
1439583754578587648,2021-09-19T13:34:47Z,KanklesInLaw,"#ArizonaWildcats We're looking up the ass end of a dead horse!
So let's talk about the good stuff:
1 Parking was good
2 The water was cold
3 Great to see Lance Briggs (How come he didn't play)
4 The Rolling Stones concert was awesome!
What do you mean the Stones weren't there?",Twitter Web App,FALSE,FALSE,1,0
1439287761907896320,2021-09-18T17:58:37Z,dsgonzalez4,Taking the second game in from the shade-Slater vs Fayette! #WildcatPride @SlaterSchools https://t.co/0d4zPktvnK,Twitter for iPhone,FALSE,FALSE,2,1
1439555992358985728,2021-09-19T11:44:28Z,dsgonzalez4,Way to battle Lady Cats-proud of you!     …TER!! 💜🥎  #WildcatPride @SlaterSchools https://t.co/PkEZdfNhG6,Twitter for iPhone,TRUE,FALSE,1,0
1439510201825169408,2021-09-19T08:42:31Z,TheRealJonRose,"It looks like #ArizonaFootball has a ways 2 go, yet. Losing 2 Northern probably isn’t the result many #UofA fans expected. I’m a New England Patriots fan &amp; I’m still vague on #JeddFisch. Gonna b a long season. #BearDown #ArizonaWildcats",Twitter for iPhone,FALSE,FALSE,0,0
1439501985460326400,2021-09-19T08:09:52Z,ren5r,Arizona football really lost to NAU…. There are no words…. #ArizonaWildcats,Twitter for iPhone,FALSE,FALSE,1,1
1439434364631203840,2021-09-19T03:41:10Z,KellyPresnell,Boobie Curry helps put the #ArizonaWildcats up 13-7 at half against #NAU. https://t.co/bzvgNYZrdf,Twitter Web App,FALSE,FALSE,8,0
1439479286029639680,2021-09-19T06:39:40Z,KellyPresnell,#NAU upsets #ArizonaWildcats 21-19 in a down-to-the-wire finish. More images from the game to be found here &gt; https://t.co/q8uynrvFs3 https://t.co/oOG2p7eNDb,Twitter Web App,FALSE,FALSE,13,1
1439477333107228672,2021-09-19T06:31:55Z,DaveVarnerific,"#ASU fans, giddy over #UArizona’s loss to NAU, when they realize they just lost to #BYU by more than Arizona did. #pac12 #Pac12FB https://t.co/6KmuQs0xAO",Twitter for iPhone,FALSE,FALSE,2,0
1439468577996750848,2021-09-19T05:57:07Z,Kevyn17188307,"Until #Arizonawildcats football starts (winning) game fans should not waste their money to buy season tickets because that was a embarrassment at home game really.
https://t.co/a6iuRjPOYJ",Twitter for Android,FALSE,FALSE,3,0
1439418888597348352,2021-09-19T02:39:40Z,Kevyn17188307,Hell yeah buddy #Arizonawildcats  are back people ..,Twitter for Android,FALSE,FALSE,0,0
1439446709088649216,2021-09-19T04:30:13Z,Kevyn17188307,Come on #Arizonawildcats https://t.co/I5KX7Rnp9s,Twitter for Android,FALSE,FALSE,0,0
1439417029270769664,2021-09-19T02:32:17Z,Kevyn17188307,#Arizonawildcats 🏈 🙌 a 16 yard kick 🦵 a field goal.,Twitter for Android,FALSE,FALSE,0,0
1439458494394949632,2021-09-19T05:17:03Z,wildcatman1965,WTF gonna lose to NAU oh my goodness #ArizonaWildcats,Twitter for iPhone,FALSE,FALSE,1,0
1439461749397200896,2021-09-19T05:29:59Z,wildcatman1965,"Ashamed to be a wildcat tonight. Never thought I would see this. Losing, losing to NAU.  Wow. PATHETIC #ArizonaWildcats",Twitter for iPhone,FALSE,FALSE,3,0
1439460868400435200,2021-09-19T05:26:29Z,azhometownlove,"If you schedule a game against NAU just to break a 14-game losing streak, and you lose anyway, #UArizona",Twitter for Android,FALSE,FALSE,0,0
1439460379084693504,2021-09-19T05:24:32Z,IAmTheVerhey,Fucking embarrassing #ArizonaWildcats https://t.co/u1PNPJKplr,Twitter for iPhone,FALSE,FALSE,2,1
1439450439292960768,2021-09-19T04:45:03Z,IAmTheVerhey,We’re losing to NAU. Why TF are you celebrating a tackle for loss? #ArizonaWildcats,Twitter for iPhone,FALSE,FALSE,0,0
